bookName,ISBN_API,year
Death Blossoms: Reflections from a Prisoner of Conscience,9780896086999,July 2003
"B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage, Hope and Healing",9781581825237,January 2006
Becoming Americans: Four Centuries of Immigrant Writing,9781598530513,October 2009
Dream Me Home Safely: Writers on Growing Up in America,9780618379026,October 2003
The Best American Short Stories 2005,9780618427055,October 2005
The Stuffed Owl: An Anthology of Bad Verse,9781590170380,March 2003
"The American Tradition in Literature, Volume 2 (book alone)",9780077239053,October 2008
American Working-Class Literature: An Anthology,9780195144567,August 2006
The Butterfly's Way: Voices from the Haitian Dyaspora in the United States,9781569472187,July 2003
Bedford Anthology of American Literature: Volume Two: 1865 to Present,9780312412081,February 2008
"Titanica: The Disaster of the Century in Poetry, Song and Prose",9780393318739,September 1998
The Unswept Path: Contemporary American Haiku,9781893996380,September 2005
"The Vietnam War in American Stories, Songs, and Poems",9780312115524,August 1995
The Best American Essays 2008,9780618983223,October 2008
The Best American Poetry 2008,9780743299756,September 2008
Poems from the Women's Movement,9781598530421,April 2009
Listening for God: Contemporary Literature And The Life Of Faith: Volume 2,9780806628448,January 1998
The Norton Anthology of African American Literature,9780393040012,November 1996
The Best American Sports Writing 2008,9781615580194,October 2008
New Orleans Stories: Great Writers on the City,9780811844949,June 2004
Sporting Lives: Metaphor and Myth in American Sports,9780826217790,February 2008
"American Literature, Volume II (Penguin Academics Series)",9780321116246,December 2003
After Frost: Anthol Poetry From N E,9781558490413,September 1996
"To The Shore Once More, Volume II: A Journey Down The Jersey Shore; Prose, Poetry, And Works Of Art",9780963290625,May 2001
Winter Song: Christmas Readings,9781573833325,October 2004
Rag and Bone Shop of the Heart: A Poetry Anthology,9780060924201,August 1993
Oxford Book of American Poetry,9780195162516,March 2006
The Portable Jack Kerouac,9780143105060,August 2007
Boricuas: Influential Puerto Rican Writings--- An Anthology,9780345395023,September 1995
Coming of Age in the 21st Century,9781595580559,October 2008
Empire City: New York Through the Centuries,9780231109093,August 2005
Erotique Noire: Black Erotica,9780385423090,August 1992
Short Story Masterpieces,9780440378648,March 1954
The Best American Short Plays 2006-2007,9781557837486,May 2010
Black on White: Black Writers on What It Means to Be White,9780805211146,January 1999
In a Narrow Grave: Essays on Texas,9780684868691,July 2001
Queer 13: Lesbian and Gay Writers Recall Seventh Grade,9780688171612,September 1999
Hokum: An Anthology of African-American Humor,9781596911482,January 2006
Voices in Our Blood: America's Best on the Civil Rights Movement,9780375758812,January 2003
The Complete Works of Kate Chopin,9780807131510,May 2006
Literature and the Environment: A Reader on Nature and Culture,9780321011497,August 1998
"The Heath Anthology of American Literature, Concise Edition",9780618256631,May 2003
Early American Writing,9780140390872,February 1994
Soulscript: A Collection of Classic African American Poetry,9780767918466,November 2004
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 1",9780393930139,February 2007
Out of Her Mind: Women Writing on Madness,9780375755026,February 2003
"The Wadsworth Themes American Literature Series, 1945-Present, Theme 18: Class Conflicts and the American Dream",9781428262508,July 2008
Concise Anthology of American Literature,9780131937925,December 2005
Written by Herself: Autobiographies of American Women,9780679736332,November 1992
Asian American Studies Now: A Critical Reader,9780813545752,April 2010
Growing Up in the South: An Anthology of Modern Southern Literature,9780451528735,January 2003
American Protest Literature,9780674027633,April 2008
The Vietnam Reader: The Definitive Collection of American Fiction and Nonfiction on the War,9780385491181,October 1998
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,9780393318289,September 1998
The Norton Anthology of American Literature: Volume E: 1945 to the Present,9780393927436,April 2007
"Living Literature: An Introduction to Fiction, Poetry, Drama",9780321088994,January 2007
"Women of the Beat Generation: The Writers, Artists and Muses at the Heart of a Revolution",9781573241380,October 1998
La Llorona on the Longfellow Bridge: Poetry Y Otras Movidas,9781558853997,January 2003
"To the Shore Once More: A Portrait Of The Jersey Shore; Prose, Poetry, and Works of Art",9780963290618,July 1999
Witnessing Lynching: American Writers Respond,9780813533308,October 2003
Longman Anthology of Women's Literature,9780321010063,December 2000
Elements of Evolutionary Genetics,9780981519425,January 2010
The Best American Short Stories 2001,9780395926888,October 2001
The Classic Hundred Poems: All-Time Favorites,9780231112598,March 1998
The Best American Nonrequired Reading 2007,9780618902811,October 2007
The Best New Playwrights 2009,9781575257624,December 2009
The Vintage Book of African American Poetry,9780375703003,February 2000
Crossing the Danger Water: Three Hundred Years of African-American Writing,9780385422437,September 1993
2007: The Best Ten-Minute Plays for Two Actors,9781575255897,April 2008
The Hudson River Valley Reader,9781604330373,March 2009
Three Centuries of American Poetry,9780553375183,March 1999
Down Time: Great Writers on Diving,9780965834445,April 2001
Blues Poems (Everyman's Library Pocket Poets),9780375414589,September 2003
Age Ain't Nothing But a Number: Black Women Explore Midlife,9780807028230,May 2003
Literary Nevada: Writings from the Silver State,9780874177596,August 2008
Nickel and Dimed,9780822220428,November 2005
The Haves and Have Nots: 30 Stories about Money and Class in America,9780451527448,October 1999
The Best American Short Plays 2003-2004,9781557836960,September 2006
Latino Boom: An Anthology of U. S. Latino Literature,9780321093837,July 2005
Up All Night: Adventures in Lesbian Sex,9781555837471,January 2004
Anthology of Modern American Poetry,9780195122718,January 2000
"A Patriot'S Handbook: Songs, Poems, Stories, And Speeches Celebrating The Land We Love",9780786869183,May 2003
Uncle Remus: His Songs and His Sayings,9780877970606,September 1995
The Heath Anthology of American Literature: Volume B: Early Nineteenth Century (1800-1865),9780618532988,December 2004
Immigrant Women,9780791419045,July 1994
The American Aeneas: Classical Origins of the American Self,9781572331327,October 2001
"Love, Castro Street: Reflections of San Francisco",9781555839970,May 2007
"The Women's Project and Productions: The Best One-Act Plays, 1975-1999",9781575252711,June 2002
Feeling Italian: The Art of Ethnicity in America,9780814727478,May 2005
"Pamphlets of Protest: An Anthology of Early African American Protest Literature, 1790-1860",9780415924443,October 2000
A Whole Other Ball Game: Women's Literature on Women's Sport,9780374525217,September 1997
A Companion to African American Literature,9781405188623,May 2010
Conversations with Mexican American Writers: Languages and Literatures in the Borderlands,9781604732146,May 2009
The Palm of My Heart: Poetry by African American Children,9781880000762,May 2003
"Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature, Vol. 28",9780313308604,July 1999
Rising Voices,9780804111676,July 1993
Brotherman: The Odyssey of Black Men in America--an Anthology,9780345383174,January 1996
Literary Journalism: A New Collection of the Best American Nonfiction,9780345382221,May 1995
Americans in Paris: A Literary Anthology,9781931082563,March 2004
Uncle Remus: His Songs and His Sayings,9780140390148,September 1982
Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,9780820321042,April 1999
If I Had My Life to Live Over,9780918949257,January 2010
Postmodern American Poetry: A Norton Anthology,9780393310900,May 1994
Sisters of the Earth: Women's Prose and Poetry About Nature,9781400033218,December 2003
The Lincoln Anthology: Great Writers on His Life and Legacy from 1860 to Now,9781598530339,December 2008
"Halloween Reader: Poems, Stories, and Plays from Halloweens Past",9781589801769,August 2004
"American Literature (Penguin Academics Series), Vol. 1",9780321116239,February 2004
Modernism: An Anthology,9780631204497,January 2005
The New Anthology of American Poetry: Volume II: Modernisms: 1900-1950,9780813531649,February 2005
Infinite Divisions: An Anthology of Chicana Literature,9780816513840,June 1993
A Hallowe'en Anthology: Literary and Historical Writings over the Centuries,9780786436842,January 2008
Sticks and Stones and Other Student Essays,9780312596224,July 2010
Women's Worlds: The Mcgraw-Hill Anthology of Women's Writing,9780072564020,December 2007
New York Stories: The Best Writing from Four Decades of New York Magazine,9780812979923,September 2008
The Columbia Anthology of American Poetry,9780231081221,July 1995
New Playwrights: The Best Plays of 2008,9781575256184,February 2009
The Jazz Poetry Anthology,9780253206374,June 1991
New Playwrights: The Best Plays of 2006,9781575255590,January 2007
The Last Best Place: A Montana Anthology,9780295969749,June 2003
A Place Apart: A Cape Cod Reader,9780881508598,June 2009
Prison Writings in 20th-Century America,9780140273052,June 1998
The Color of Gratitude: And Other Spiritual Surprises,9781570758461,September 2009
I Thought My Father Was God: And Other True Tales from NPR's National Story Project,9780060874117,September 2005
Growing up Poor: A Literary Anthology,9781565847446,June 2002
"Drinking, Smoking and Screwing: Great Writers on Good Times",9780811807845,August 1994
Literature and Science in the Nineteenth Century: An Anthology,9780199554652,August 2009
"Show &amp; Tell: Writers on Writing, Sixth Edition",9780982338209,August 2009
Mother California: A Story of Redemption Behind Bars,9781934633199,November 2009
"Richard Wright: Later Works (Black Boy, American Hunger, The Outsider)",9780940450677,October 1991
Double-Take: A Revisionist Harlem Renaissance Anthology,9780813529301,December 2001
Hispanic-American Literature: A Brief Introduction and Anthology,9780673469564,January 1997
Nineteenth-Century American Poetry,9780140435870,October 1996
The Beat Book: Writings from the Beat Generation,9781590304556,July 2007
Beat Poets,9780375413322,July 2002
Brooklyn Was Mine,9781594482823,January 2008
New Playwrights: The Best Plays of 2007,9781575255910,July 2008
The Best American Erotic Poems: From 1800 to the Present,9781416537465,February 2008
The Best of the West: An Anthology of Classic Writing from the American West,9780060923525,September 1992
Atop an Underwood: Early Stories and Other Writings,9780140296396,November 2000
"The African American Experience: Black History and Culture Through Speeches, Letters, Editorials, Poems, Songs, and Stories",9781579127732,January 2009
Best New Poets: 50 Poems from Emerging Writers,9780976629641,November 2009
Inherit the Atchafalaya,9781887366762,July 2007
The Best American Poetry 2007,9780743299732,September 2007
The Best American Poetry 2006,9780743257596,September 2006
Tales for Little Rebels: A Collection of Radical Children's Literature,9780814757215,March 2010
Great American Prose Poems,9780743243506,March 2003
"The Literature of California, Volume 1: Native American Beginnings to 1945",9780520222120,December 2000
American Food Writing: An Anthology with Classic Recipes,9781598530056,April 2007
Essential Saroyan,9781597140010,April 2005
No Walls of Stone: An Anthology of Literature by Deaf and Hard of Hearing Writers,9781563680199,January 2002
"Pioneers of the Black Atlantic: Five Slave Narratives from the Enlightenment, 1772-1815",9781887178983,November 1998
Riding Low on Streets of Gold,9781558853805,November 2003
Fire and Ink: An Anthology of Social Action Writing,9780816527939,October 2009
"New York Nocturne: The City After Dark in Literature, Painting, and Photography, 1850-1950",9780691133249,October 2008
Poets of World War II,9781931082334,July 2002
Voices from the Harlem Renaissance,9780195093605,January 1995
A Loving Voice II: A Caregiver's Book of More Read-Aloud Stories for the Elderly,9780914783701,July 1994
Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,9780807123201,February 1999
Motherland: Writings by Irish American Women about Mothers and Daughters,9780688175863,April 2000
The Lowell Offering: Writings by New England Mill Women (1840-1845),9780393316858,December 1997
The Best American Poetry 2010,9781439181478,September 2010
Inside Out/Outside In: Exploring American Literature,9780395986059,July 2005
Glencoe Literature: American Literature: The Reader's Choice,9780078454813,January 2006
Transcendentalism: A Reader,9780195122138,December 2000
The Best American Short Stories 2002,9780618131730,October 2002
A Loving Voice: A Caregiver's Book of Read-Aloud Stories for the Elderly,9780914783596,January 1992
Hispanic Caribbean Literature of Migration: Narratives of Displacement,9780230620650,June 2010
American Political Plays after 9/11,9780809329540,June 2010
"Best Plays of the Early American Theatre, 1787-1911",9780486410982,June 2000
"Glances Backward: An Anthology of American Homosexual Writing, 1830-1920",9781551117287,September 2006
"American Poetry: The Nineteenth Century (Melville to Stickney, American Indian Poetry, Folk Songs and Spirituals) (Library of America), Vol. 2",9780940450783,September 1993
Deaf Way II Anthology: A Literary Collection of Deaf and Hard of Hearing Writers,9781563681271,June 2002
American Short Story and Its Writer: An Anthology,9780312191764,August 1999
Orpheus and Company: Contemporary Poems on Greek Mythology,9780874519181,April 1999
Poems That Live Forever,9780385003582,June 1965
The Best American Nonrequired Reading 2008,9780618902835,October 2008
American Negro Poetry,9780809015641,December 1995
Paradise Road: Jack Kerouac's Lost Highway and My Search for America,9780470237694,March 2010
The Black Woman: An Anthology,9780743476973,March 2005
Thom Pain (based on nothing),9781559362757,April 2005
American Fantastic Tales: Terror and the Uncanny from Poe to the Pulps,9781598530476,October 2009
100 Poems by 100 Poets,9780802132796,January 1994
"Chocolate Thoughts: Short Stories, Essays and Poetry from the Hearts and Minds of Real Black Men",9781929642373,May 2006
Oxford Anthology of African American Poetry,9780195125634,October 2005
"Freedom in This Village: Twenty-Five Years of Black Gay Men's Writing, 1979 to the Present",9780786713875,September 2004
Bandana Republic: A Literary Anthology by Gang Members and Their Affliliates,9781593761943,May 2008
The Civil Rights Reader: American Literature from Jim Crow to Reconciliation,9780820332253,January 2009
American Sonnets: An Anthology,9781598530155,October 2007
Voices in First Person: Reflections on Latino Identity,9781416906353,August 2008
Montana Women Writers: A Geography of the Heart,9781560373797,October 2006
81 Famous Poems,9780945353829,August 1993
Califauna: A Literary Field Guide,9781597140492,April 2007
Thousand and One Afternoons in Chicago,9780226322742,June 2009
Philadelphia Stories: America's Literature of Race and Freedom,9780195395921,April 2010
"Voices of Black America: Historical Recordings of Poetry, Humor and Drama, 1908-1947",9789626342480,February 2002
The Wind Shifts: New Latino Poetry,9780816524938,April 2007
Slamma Lamma Ding Dong: An Anthology by Nebraska's Slam Poets,9780595362974,July 2005
Shadowed Dreams: Women's Poetry of the Harlem Renaissance,9780813538860,October 2006
"Appalachia Inside Out: Conflict and Change, Vol. 1",9780870498749,March 1995
Writing Los Angeles: A Literary Anthology,9781931082273,September 2002
